Rank,Year,Fatalities
1 ,1945 ,4660 
2 ,1944 ,4647 
3 ,1943 ,4057 
4 ,1972 ,3316 
5 ,1985 ,3023 
6 ,1973 ,2975 
7 ,1974 ,2782 
8 ,1996 ,2779 
9 ,1969 ,2752 
10 ,1942 ,2736 
11 ,1989 ,2603 
12 ,1979 ,2573 
13 ,1977 ,2558 
14 ,1962 ,2477 
15 ,1968 ,2433 
16 ,1976 ,2416 
17 ,1988 ,2392 
18 ,1967 ,2351 
19 ,1980 ,2343 
20 ,1992 ,2312 
21 ,1970 ,2309 
22 ,1951 ,2304 
23 ,1952 ,2284 
24 ,1965 ,2272 
25 ,1966 ,2222 
26 ,1978 ,2220 
27 ,1970 ,2188 
28 ,1987 ,2157 
29 ,1950 ,2138 
30 ,1982 ,2066 
31 ,1946 ,2064 
32 ,1983 ,2047 
33 ,1960 ,2033 
34 ,1991 ,2023 
35 ,1994 ,2018 
36 ,1948 ,1978 
37 ,1953 ,1970 
38 ,1961 ,1962 
39 ,1975 ,1930 
40 ,1947 ,1922 
41 ,1949 ,1916 
42 ,1963 ,1838 
43 ,1995 ,1828 
44 ,1958 ,1808 
45 ,1964 ,1803 
46 ,1986 ,1781 
47 ,1997 ,1768 
48 ,1993 ,1768 
49 ,1998 ,1721 
50 ,1957 ,1654 
51 ,2000 ,1586 
52 ,1981 ,1585 
53 ,1954 ,1549 
54 ,2001 ,1536 
55 ,1959 ,1524 
56 ,2005 ,1463 
57 ,1990 ,1447 
58 ,1956 ,1434 
59 ,1955 ,1423 
60 ,2002 ,1419 
61 ,2014 ,1329 
62 ,1984 ,1329 
63 ,2006 ,1303 
64 ,2003 ,1233 
65 ,1999 ,1150 
66 ,2010 ,1144 
67 ,1941 ,1134 
68 ,1940 ,1127 
69 ,2009 ,1108 
70 ,2018 ,1039 
71 ,2007 ,984 
72 ,2015 ,904 
73 ,2008 ,902 
74 ,2011 ,828 
75 ,2012 ,800 
76 ,2004 ,767 
77 ,2016 ,631 
78 ,1938 ,618 
79 ,2019 ,578 
80 ,1939 ,486 
81 ,2013 ,453 
82 ,2020 ,419 
83 ,2017 ,399 
84 ,1936 ,399 
85 ,1937 ,346 
86 ,1935 ,329 
87 ,1929 ,251 
88 ,1933 ,201 
89 ,1934 ,199 
90 ,1930 ,187 
91 ,1931 ,172 
92 ,1928 ,169 
93 ,1932 ,120 
94 ,1927 ,107 
95 ,1926 ,71 
96 ,1922 ,69 
97 ,1920 ,54 
98 ,1923 ,51 
99 ,1921 ,42 
100 ,1919 ,33
101 ,1925 ,32 
102 ,1924 ,27 
103 ,1918 ,4
